Configuration,Run ID,Seed,Metric,Final window requested,N,Mean,Temporal SD,Minimum,Maximum,Median,First step in window,Last step in window,SD interpretation
No self collision,q2l4sxxn,42,Train/mean_reward,100,100,9.840468870503361,0.9096635409399706,7.2945563142746686,12.652298061698675,9.795123410858213,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Train/mean_episode_length,100,100,266.61799999999994,21.795094712695178,209.77,333.28,264.77,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Policy/mean_std,100,100,0.3963077077269554,0.001707755748464258,0.39304816722869873,0.3990473747253418,0.39646241068840027,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Metrics/root_position_error,100,100,0.35102166622877123,0.009244887536078618,0.3274978995323181,0.3734416365623474,0.35036224126815796,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Metrics/root_orientation_error,100,100,0.16342948943376542,0.002604319467893093,0.1574007272720337,0.172227144241333,0.1633855551481247,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Metrics/body_position_error,100,100,0.07872796133160591,0.0012205451694669164,0.07586770504713058,0.08130931854248047,0.0786990225315094,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Metrics/body_orientation_error,100,100,0.3701029402017593,0.006086582491607594,0.35756105184555054,0.38323259353637695,0.37092798948287964,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Metrics/body_linear_velocity_error,100,100,0.7369721776247025,0.013012758434373327,0.7116446495056152,0.77220219373703,0.7364995777606964,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Metrics/body_angular_velocity_error,100,100,3.4502190828323362,0.03390018322141073,3.360708236694336,3.535740375518799,3.4522989988327026,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Metrics/action_rate_l2_raw,100,100,9.866602716445923,0.05612359953250623,9.730398178100586,9.99517822265625,9.864551544189453,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Metrics/joint_limit_raw,100,100,0.006979320296086371,0.0005057223833947975,0.005542080849409103,0.008108830079436302,0.00697935139760375,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Metrics/self_collision_raw,100,100,0.11317683421075345,0.011915714409798215,0.08573403209447861,0.14440667629241943,0.11321201920509338,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Termination/time_out,100,100,4.10500013589859,0.45921178217114933,3.0833334922790527,5.25,4.083333492279053,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Termination/anchor_pos,100,100,2.0058333909511568,0.4088929835438487,0.9583333730697632,3.125,2.0,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Termination/anchor_ori,100,100,0.000833333358168602,0.005862720763734757,0.0,0.0416666679084301,0.0,900.0,999.0,Temporal SD within one run; not cross-seed SD
No self collision,q2l4sxxn,42,Episode_Termination/ee_body_pos,100,100,9.952917022705078,0.899082515276576,8.0,12.0,9.833333969116211,900.0,999.0,Temporal SD within one run; not cross-seed SD
