motion_name,method,joint_name,maximum_velocity_rad_s,maximum_acceleration_rad_s2,mean_jerk_rad_s3,maximum_jerk_rad_s3,joint_limit_violation_count,joint_limit_maximum_violation_rad
113_20,basic_ik,left_hip_pitch_joint,12.892875686087987,345.9967854977203,183.45383973464163,5699.168682040297,0,0.0
113_20,basic_ik,left_hip_roll_joint,12.449434051975157,304.9439944270398,215.8092237413519,3610.7432742387145,0,0.0
113_20,basic_ik,left_hip_yaw_joint,30.38960639181555,565.247540449704,673.3716279727129,8104.078875551442,18,0.22851456590995078
113_20,basic_ik,left_knee_joint,8.765402850471377,135.08160217596225,240.07127392694372,2080.0040146769484,0,0.0
113_20,basic_ik,left_ankle_pitch_joint,10.276343705744766,263.99425315914476,449.2323026496303,5228.731487586867,25,0.8582353069336514
113_20,basic_ik,left_ankle_roll_joint,45.55944370619963,1397.0287591988772,1035.7112930105654,59984.64270787377,361,4.329293876731451
113_20,basic_ik,right_hip_pitch_joint,38.86963987389712,876.5041268015532,228.9261259727715,9814.360851598834,20,0.22612761396962688
113_20,basic_ik,right_hip_roll_joint,1.7662252016807019,81.29165354134207,111.33385982471846,1292.8623137908028,0,0.0
113_20,basic_ik,right_hip_yaw_joint,14.861253156495364,308.32576755672466,311.76659874919824,5003.258426491294,0,0.0
113_20,basic_ik,right_knee_joint,18.699027868044734,421.54833895746503,273.591620078134,4733.983949888446,1,0.1837086668353542
113_20,basic_ik,right_ankle_pitch_joint,13.473956964259573,177.55386030366284,590.5648462991426,4928.469739158735,138,2.391133526148336
113_20,basic_ik,right_ankle_roll_joint,13.889131404069815,243.5240700829652,428.08518612321495,7510.6056555994455,345,2.550197783532966
113_20,basic_ik,waist_yaw_joint,28.264312233356595,612.6708730899275,149.94614679201618,6755.33986946636,0,0.0
113_20,basic_ik,waist_roll_joint,7.489607926171953,242.5513170064409,103.0274553904822,4068.1583069160038,0,0.0
113_20,basic_ik,waist_pitch_joint,26.824948353580027,593.3003977477478,142.52233965891858,6552.045950775806,349,0.3348425762173568
113_20,basic_ik,left_shoulder_pitch_joint,9.682090130600077,217.79667952443776,92.589006232199,2431.388790556567,0,0.0
113_20,basic_ik,left_shoulder_roll_joint,1.3356155401692058,43.04561743540624,61.34834900558487,773.9311130621796,0,0.0
113_20,basic_ik,left_shoulder_yaw_joint,6.46122222426068,91.7212896867035,219.22947640061574,1590.0923275002017,0,0.0
